"""hugo""","""m""","""coActors"""
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""V for Vendetta"",""tagline"":""Freedom! Forever!"",""released"":2006}","{""name"":""Ben Miles"",""born"":1967}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""V for Vendetta"",""tagline"":""Freedom! Forever!"",""released"":2006}","{""name"":""John Hurt"",""born"":1940}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""V for Vendetta"",""tagline"":""Freedom! Forever!"",""released"":2006}","{""name"":""Stephen Rea"",""born"":1946}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""V for Vendetta"",""tagline"":""Freedom! Forever!"",""released"":2006}","{""name"":""Natalie Portman"",""born"":1981}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""Cloud Atlas"",""tagline"":""Everything is connected"",""released"":2012}","{""name"":""Jim Broadbent"",""born"":1949}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""Cloud Atlas"",""tagline"":""Everything is connected"",""released"":2012}","{""name"":""Halle Berry"",""born"":1966}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""Cloud Atlas"",""tagline"":""Everything is connected"",""released"":2012}","{""name"":""Tom Hanks"",""born"":1956}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix Revolutions"",""tagline"":""Everything that has a beginning has an end"",""released"":2003}","{""name"":""Carrie-Anne Moss"",""born"":1967}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix Revolutions"",""tagline"":""Everything that has a beginning has an end"",""released"":2003}","{""name"":""Laurence Fishburne"",""born"":1961}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix Revolutions"",""tagline"":""Everything that has a beginning has an end"",""released"":2003}","{""name"":""Keanu Reeves"",""born"":1964}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix Reloaded"",""tagline"":""Free your mind"",""released"":2003}","{""name"":""Laurence Fishburne"",""born"":1961}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix Reloaded"",""tagline"":""Free your mind"",""released"":2003}","{""name"":""Carrie-Anne Moss"",""born"":1967}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix Reloaded"",""tagline"":""Free your mind"",""released"":2003}","{""name"":""Keanu Reeves"",""born"":1964}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix"",""tagline"":""Welcome to the Real World"",""released"":1999}","{""name"":""Emil Eifrem"",""born"":1978}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix"",""tagline"":""Welcome to the Real World"",""released"":1999}","{""name"":""Laurence Fishburne"",""born"":1961}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix"",""tagline"":""Welcome to the Real World"",""released"":1999}","{""name"":""Carrie-Anne Moss"",""born"":1967}"
"{""name"":""Hugo Weaving"",""born"":1960}","{""title"":""The Matrix"",""tagline"":""Welcome to the Real World"",""released"":1999}","{""name"":""Keanu Reeves"",""born"":1964}"